"MacBook Pro 16 M4 Max","Apple","Portátil profesional de máximo rendimiento.","informatica",3799.00,0,21,12,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102402/macbook_pro_bspkrc.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102406/macbook_pro_2_odyktx.jpg","16'' Liquid Retina XDR | M4 Max | 48GB | 1TB SSD"
"MacBook Air M4","Apple","Ultraligero y potente.","informatica",1499.00,5,21,20,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102401/MacBook_Air_M4_2_urma6u.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102387/MacBook_Air_M4_shfdty.jpg","13.6'' | M4 | 16GB | 512GB"
"Dell XPS 14","Dell","Portátil premium.","informatica",1999.00,8,21,10,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102697/Dell_XPS_14_q8rytf.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102333/Dell_XPS_14_2_q5pmse.jpg","Core Ultra | 32GB | 1TB"
"ASUS ROG Zephyrus G16","ASUS","Gaming de alto nivel.","informatica",2499.00,10,21,8,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102686/ASUS_ROG_Zephyrus_G16_pbn0or.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102689/ASUS_ROG_Zephyrus_G16_2_xim4s1.png","RTX 4080 | 32GB | 1TB"
"Lenovo ThinkPad X1","Lenovo","Productividad empresarial.","informatica",1899.00,12,21,14,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102377/Lenovo_ThinkPad_X1_jm42av.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102379/Lenovo_ThinkPad_X1_2_brxvwj.jpg","Core Ultra | 32GB"
"iPhone 16 Pro","Apple","El iPhone más avanzado.","telefonia",1299.00,5,21,30,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102364/iPhone_16_Pro_cslbjy.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102367/iPhone_16_Pro_2_fb7vve.jpg","A18 Pro | 256GB"
"iPhone 16","Apple","Potencia para todos.","telefonia",959.00,0,21,40,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102369/iPhone_16_kvlqdl.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102371/iPhone_16_2_mmlyml.jpg","128GB"
"Galaxy S25 Ultra","Samsung","Fotografía profesional.","telefonia",1399.00,10,21,22,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102346/Galaxy_S25_Ultra_h7ebpa.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102348/Galaxy_S25_Ultra_2_ufe4ms.jpg","256GB | 200MP"
"Galaxy A56","Samsung","Gran relación calidad-precio.","telefonia",429.00,15,21,50,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102342/Galaxy_A56_cmaaey.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102344/Galaxy_A56_2_lcvvs9.jpg","128GB"
"Pixel 10 Pro","Google","Android puro.","telefonia",1099.00,5,21,16,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102540/Pixel_10_Pro_2_s904du.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102538/Pixel_10_Pro_xjy7zf.jpg","256GB"
"iPad Pro 13","Apple","Tablet profesional.","tablets",1499.00,0,21,12,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102359/iPad_Pro_13_yug79u.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102362/iPad_Pro_13_2_zhziav.png","M4 | 512GB"
"Galaxy Tab S10+","Samsung","Pantalla AMOLED.","tablets",999.00,10,21,15,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102350/Galaxy_Tab_S10_f67qbk.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102353/Galaxy_Tab_S10__2_jl0pjd.jpg","12.4''"
"Apple Watch Ultra 2","Apple","Smartwatch premium.","smartwatch",899.00,0,21,18,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102683/Apple_Watch_Ultra_2_2_pfkxpw.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102684/Apple_Watch_Ultra_2_p7vevf.png","Titanio"
"Galaxy Watch Ultra","Samsung","Resistente y deportivo.","smartwatch",649.00,10,21,22,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102355/Galaxy_Watch_Ultra_jycuuf.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102357/Galaxy_Watch_Ultra_2_uxpc6c.jpg","GPS"
"AirPods Pro 2","Apple","Cancelación activa.","audio",279.00,5,21,35,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102680/AirPods_Pro_2_jijv0l.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102681/AirPods_Pro_2_2_cqvxyf.jpg","USB-C"
"Sony WH-1000XM6","Sony","Auriculares premium.","audio",449.00,12,21,20,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102671/Sony_WH-1000XM6_dsffgp.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102673/Sony_WH-1000XM6_2_iexb2s.jpg","ANC"
"Bose QuietComfort Ultra","Bose","Sonido inmersivo.","audio",429.00,10,21,15,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102691/Bose_QuietComfort_Ultra_dhtf8y.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102694/Bose_QuietComfort_Ultra_2_trnsii.jpg","Bluetooth"
"JBL Charge 6","JBL","Altavoz portátil.","audio",199.00,15,21,40,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102373/JBL_Charge_6_bg0ggt.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102375/JBL_Charge_6_2_u2ecmu.jpg","IP67"
"LG OLED C4 65","LG","TV OLED 4K.","television",1999.00,18,21,10,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102382/LG_OLED_C4_65_km1nqy.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102384/LG_OLED_C4_65_2_mhfgya.jpg","65 pulgadas"
"Samsung Neo QLED QN90","Samsung","MiniLED 4K.","television",1799.00,15,21,9,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102664/Samsung_Neo_QLED_QN90_xasv4x.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102667/Samsung_Neo_QLED_QN90_2_axexxq.jpg","55 pulgadas"
"PlayStation 5 Slim","Sony","Consola de nueva generación.","consolas",549.00,5,21,25,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102654/PlayStation_5_Slim_2_upfbn9.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102651/PlayStation_5_Slim_nbzqgj.jpg","1TB"
"Xbox Series X","Microsoft","Máxima potencia.","consolas",549.00,10,21,20,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102677/Xbox_Series_X_fspg8q.png,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102678/Xbox_Series_X_2_oudkfk.jpg","1TB"
"Nintendo Switch OLED","Nintendo","Diversión portátil.","consolas",349.00,0,21,30,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102407/Nintendo_Switch_OLED_u8g7z4.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102460/Nintendo_Switch_OLED_2_dff67g.jpg","OLED"
"Steam Deck OLED","Valve","PC portátil.","consolas",569.00,5,21,18,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102675/Steam_Deck_OLED_2_hmqi1j.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102675/Steam_Deck_OLED_pxs9lc.png","512GB"
"Canon EOS R8","Canon","Cámara mirrorless.","fotografia",1699.00,10,21,8,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102694/Canon_EOS_R8_b7evkb.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102696/Canon_EOS_R8_2_z3onxj.jpg","24MP"
"Sony A7 IV","Sony","Full Frame.","fotografia",2499.00,8,21,6,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102668/Sony_A7_IV_hj7au9.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102670/Sony_A7_IV_2_lpvjia.jpg","33MP"
"DJI Mini 4 Pro","DJI","Dron compacto.","fotografia",999.00,5,21,12,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102333/DJI_Mini_4_Pro_xqdh25.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102337/DJI_Mini_4_Pro_2_oqoqny.jpg","4K HDR"
"Dyson V15 Detect","Dyson","Aspiradora sin cable.","electrodomesticos",749.00,15,21,14,"https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102338/Dyson_V15_Detect_zixbod.jpg,https://res.cloudinary.com/dbnoahrnq/image/upload/v1786102340/Dyson_V15_Detect_2_n0p1dc.jpg","Laser"
